text,class
Qual o nome dos alunos do curso de BigData?,aluno
Qual o perfil dos alunos do curso de BigData?,aluno
Qual o conhecimento necessario para me matricular no curso de Bigdata?,aluno
Quais sao os melhores alunos da BandTec do curso de Bigdata?,aluno
Alunos que estudam no curso de BigData sao predominantemente homens?,aluno
Qual o numero maximo de alunos em uma turma de BigData?,aluno
Onde encontro a lista de alunos que concluiram o curso de BigData?,aluno
Existe uma lista de alunos que concluiram o curso de BigData?,aluno
Quantas avaliacoes terao durante todo o curso de Bigdata?,avaliacao
Como serao avaliados os alunos do curso de Bigdata?,avaliacao
Quais serao os tipos de avaliacoes usadas no curso de Bigdata?,avaliacao
Existe algum tipo de pre avaliacao para o curso de BigData?,avaliacao
Como os alunos sao avaliados para a conclusao do curso?,avaliacao
As avaliacoes feitas durante o curso de BigData sao presenciais?,avaliacao
Posso usar certificados de eventos externos como parte da avaliacao?,avaliacao
Existe revisao de notas e faltas?,avaliacao
Quais sao as fontes de dados usadas no big data?,big data
Qual o perfil do profissional de big data?,big data
Onde aplico os conhecimentos adquiridos sobre  Bigdata?,big data
Para que serve o BigData?,big data
Quem pode utilizar o BigData?,big data
Em quais areas que usarei os conhecimentos de BigData?,big data
Por que aprender sobre BigData?,big data
Em que os conhecimentos de BigData podem me ajudar na minha carreira?,big data
Qual o numero maximo de alunos permitido no curso de Bigdata?,curso
Qual o numero minimo de alunos para se montar uma turma de Bigdata?,curso
Qual o periodo de duracao do curso de Bigdata?,curso
Quando iniciara a proxima turma de Bigdata?,curso
O curso de Bigdata e composto de quantas disciplinas?,curso
Onde encontro outras informacoes sobre o curso de Bigdata?,curso
O curso de Bigdata e ministrado em quais dias da semana?,curso
Qual o valor do curso de Bigdata?,curso
Qual a duracao de cada aula do curso de Bigdata?,curso
Existe uma politica de desconto para pessoa fisica no curso de Bigdata?,curso
Como sao selecionados os alunos do curso de Bigdata?,curso
Existe um desconto especial no curso de Bigdata para ex-aluno da BandTec?,curso
Existe um curso de Bigdata no formato EAD?,curso
Preciso ter um conhecimento especifico para me matricular no curso de Bigdata?,curso
Quais sao as disciplinas do curso de BigData?,disciplina
Qual a grade curricular do curso de BigData?,disciplina
Quais sao os nomes das disciplinas de pos da Bandtec?,disciplina
Como chamam as disciplinas do curso de pos graduacao?,disciplina
Existem disciplicinas extracurriculares no curso de BigData?,disciplina
Posso fazer alguma disciplina em EAD?,disciplina
Qual a carga horaria de cada disciplina?,disciplina
Posso deixar alguma disciplina para concluir apos termino do curso?,disciplina
Empresas podem ter desconto na mensalidade?,parcerias
Quais os softwares de parceiros serao usados durante o curso?,parcerias
Os alunos podem adquirir as ferramentas usadas no curso?,parcerias
Havera cursos extra-curriculares em empresas?,parcerias
Quais sao as empresas parceiras da faculdade?,parcerias
Minha empresa pode ser parceira?,parcerias
Como funciona a parceria com as empresas?,parcerias
Como sera divulgado o programa de parcerias?,parcerias
Qual o desconto concedido para as empresas no programa de parcerias?,parcerias
Quantos funcionarios um parceiro pode matricular em cada turma de Bigdata?,parcerias
Como faco para participar do programa de parcerias no curso de Bigdata?,parcerias
Qual a formacao exigida para ser professor do curso de Bigdata?,professor
Onde encontro o Curriculum dos professores do curso de Bigdata?,professor
Como Chamam os professores da BandTec?,professor
Quais sao os professores de Big Data?,professor
Professores que lecionam o curso de BigData?,professor
Quais sao os melhores professores da Bandtec?,professor
Quem sao os professores de BigData?,professor
Professores que lecionam as disciplinas de BigData?,professor
Quais projetos ja foram criados no curso?,projetos
Quero saber quais projetos foram desenvolvidos na pos,projetos
Onde encontro os trabalhos desenvolvidos pelo alunos da pos,projetos
Quais foram os trabalhos desenvolvidos na pos,projetos
Os projetos desenvolvidos pela faculdade sao disponibilizados apos os cursos?,projetos
O que e escritorio de projetos?,projetos
Quem avalia os projetos?,projetos
A BandTec disponibiliza ferramentas para confeccao dos projetos?,projetos
Qual horario de funcionamento da secretaria?,secretaria
Quais as formas de pagamento da mensalidade?,secretaria
Como posso financiar um curso?,secretaria
Como emitir uma segunda via do boleto?,secretaria
Fui reprovado e agora?,secretaria
Como funciona o reaproveitamento de materias,secretaria
Quais sao os documentos necessarios para realizar a matricula?,secretaria
Como reservo salas de reunioes?,secretaria
Quais os principais temas de artigos?,artigos
Existem artigos de alunos publicados em revistas academicas?,artigos
Quais sao os artigos de Governaca de Dados?,artigos
Quais artigos que fazem mineracao de texto?,artigos
Onde encontro os artigos criados pelos alunos?,artigos
Os artigos criados pelos alunos serao disponibilizados ao publico?,artigos
Em quais idiomas os artigos sao publicados?,artigos
Os artigos sao revisados antes de sua publicacao?,artigos
Quais foram os livros sugeridos pelos professores?,bibliografia
Qual a bibliografia utilizada no curso de BigData?,bibliografia
Terei que comprar alguma apostila propria do curso?,bibliografia
Onde encontro a bibliografia usada no curso?,bibliografia
Quais autores sao sugeridos para o curso de BigData?,bibliografia
Em quais idiomas encontro livros sobre BigData?,bibliografia
Qual a bibliografia basica para o curso de BigData?,bibliografia
Existe sugestao de bibliografia para os trabalhos de conclusao?,bibliografia
Dentro da bibliografia existe algum material escrito por professores do curso?,bibliografia
Nao consigo acessar o portal de notas como proceder?,suporte
Qual meu usuario e senha para acessar o portal Sharepoint?,suporte
Como faco para obter licenca academica de softwares usados no curso?,suporte
Posso instalar programas externos no notebook da faculdade?,suporte
Como posso atualizar os programas existentes no notebook da fauldade?,suporte
Quanto tempo dura a licenca academica dos softwares usados?,suporte
Qual a politica de acesso a sites dentro da faculdade?,suporte
A internet na faculdade nao funciona o que fazer?,suporte
Qual a data das aulas de mineracao de texto?,calendario
Quando havera aula de Governanca de Dados?,calendario
Quando sairemos de ferias?,calendario
Havera aula na sexta feira?,calendario
Quando teremos aula de reposicao?,calendario
Quando serao apresentados os projetos?,calendario
Qual a previsao para termino do curso?,calendario
O que fazer quando ha demora na expedicao do diploma?,calendario
Qual a previsao para inicio da nova turma de BigData?,calendario
Havera redacao?,vestibular
Quando sera aplicado o novo processo seletivo vestibular?,vestibular
A faculdade aceita a nota do ENEM?,vestibular
Como sera a inscricao para o vestibular?,vestibular
O exame tera questoes de ingles?,vestibular
A prova tera atualidades?,vestibular
Sera Preciso estudar datas historicas?,vestibular
Quais serao as materias avaliadas?,vestibular
Em que profissoes posso atuar?,carreira
Como esta o mercado para BigData?,carreira
Quais os cargos de bigData?,carreira
Em que ramo do mercado atua os profissionais de BigData?,carreira
Qual o piso salarial para o profissional com conhecimento em BigData?,carreira
Como se preparar para trabalhar com BigData?,carreira
Qual a formacao necessaria para atuar no mercado de BigData?,carreira
Quais sao as certificacoes em BigData mais relevantes para o mercado?,carreira
